Time: 1576419278, Messages: 0, Members Joined: joined
Time: 1576419283, Messages: 0, Members Joined: 0
Time: 1576419288, Messages: 1, Members Joined: 0
Time: 1576419293, Messages: 0, Members Joined: 0
Time: 1576419298, Messages: 0, Members Joined: 0
Time: 1576419303, Messages: 0, Members Joined: 0
Time: 1576419308, Messages: 0, Members Joined: 0
Time: 1576419313, Messages: 0, Members Joined: 0
Time: 1576419318, Messages: 0, Members Joined: 0
Time: 1576419323, Messages: 1, Members Joined: 0
Time: 1576419328, Messages: 1, Members Joined: 0
Time: 1576419333, Messages: 0, Members Joined: 0
Time: 1576419338, Messages: 0, Members Joined: 0
Time: 1576419343, Messages: 0, Members Joined: 0
Time: 1576419348, Messages: 0, Members Joined: 0
Time: 1576419353, Messages: 1, Members Joined: 0
Time: 1576419358, Messages: 0, Members Joined: 0
Time: 1576419363, Messages: 0, Members Joined: 0
Time: 1576419368, Messages: 0, Members Joined: 0
Time: 1576419373, Messages: 0, Members Joined: 0
Time: 1576419378, Messages: 0, Members Joined: 0
Time: 1576419383, Messages: 0, Members Joined: 0
Time: 1576419388, Messages: 0, Members Joined: 0
Time: 1576419393, Messages: 0, Members Joined: 0
Time: 1576419398, Messages: 0, Members Joined: 0
Time: 1576419403, Messages: 0, Members Joined: 0
Time: 1576419408, Messages: 0, Members Joined: 0
Time: 1576419413, Messages: 1, Members Joined: 0
Time: 1576419418, Messages: 0, Members Joined: 0
Time: 1576419423, Messages: 0, Members Joined: 0
Time: 1576419428, Messages: 0, Members Joined: 0
Time: 1576419433, Messages: 0, Members Joined: 0
Time: 1576419438, Messages: 0, Members Joined: 0
Time: 1576423035, Messages: 0, Members Joined: joined
Time: 1576423040, Messages: 0, Members Joined: 0
Time: 1576423045, Messages: 1, Members Joined: 0
Time: 1576423050, Messages: 0, Members Joined: 0
Time: 1576423055, Messages: 0, Members Joined: 0
Time: 1576423060, Messages: 1, Members Joined: 0
Time: 1576423065, Messages: 0, Members Joined: 0
Time: 1576423070, Messages: 0, Members Joined: 0
Time: 1576423075, Messages: 0, Members Joined: 0
Time: 1576423080, Messages: 0, Members Joined: 0
Time: 1576423085, Messages: 0, Members Joined: 0
Time: 1576423090, Messages: 0, Members Joined: 0
Time: 1576423095, Messages: 0, Members Joined: 0
Time: 1576423100, Messages: 0, Members Joined: 0
Time: 1576423105, Messages: 0, Members Joined: 0
Time: 1576423110, Messages: 0, Members Joined: 0
Time: 1576423115, Messages: 0, Members Joined: 0
Time: 1576423120, Messages: 1, Members Joined: 0
Time: 1576423125, Messages: 0, Members Joined: 0
Time: 1576423130, Messages: 0, Members Joined: joined
Time: 1576423135, Messages: 2, Members Joined: 0
Time: 1576423140, Messages: 0, Members Joined: 0
Time: 1576423145, Messages: 0, Members Joined: 0
Time: 1576423150, Messages: 0, Members Joined: 0
Time: 1576423155, Messages: 0, Members Joined: 0
Time: 1576423160, Messages: 0, Members Joined: 0
Time: 1576423165, Messages: 1, Members Joined: 0
Time: 1576423170, Messages: 0, Members Joined: 0
Time: 1576423175, Messages: 1, Members Joined: 0
Time: 1576423180, Messages: 0, Members Joined: 0
Time: 1576423185, Messages: 0, Members Joined: 0
Time: 1576423190, Messages: 0, Members Joined: 0
Time: 1576423195, Messages: 0, Members Joined: 0
Time: 1576423200, Messages: 0, Members Joined: 0
Time: 1576423205, Messages: 0, Members Joined: 0
Time: 1576423210, Messages: 0, Members Joined: 0
Time: 1576423215, Messages: 0, Members Joined: 0
Time: 1576423220, Messages: 2, Members Joined: 0
Time: 1576423225, Messages: 0, Members Joined: 0
Time: 1576423230, Messages: 0, Members Joined: 0
Time: 1576423235, Messages: 0, Members Joined: 0
